timestamp,x,y,z
0,3.84,1.75,-6.41
10,3.55,1.65,-5.98
20,3.43,1.71,-6.01
30,3.34,1.81,-6.35
40,3.23,1.93,-6.6
50,3.1,2.04,-6.92
60,3.17,2.02,-7.06
70,3.27,1.82,-6.86
80,3.27,1.78,-6.88
90,3.05,1.86,-7.1
100,2.63,1.97,-7.37
110,2.14,1.96,-7.27
120,1.94,1.87,-7.18
130,1.78,1.65,-7.02
140,1.86,1.33,-6.63
150,2.06,1.12,-6.62
160,2.26,1.14,-6.96
170,2.6,1.26,-7.5
180,2.81,1.36,-7.67
190,2.77,1.16,-7.18
200,2.58,0.96,-6.79
210,2.65,0.68,-6.57
220,3.02,0.57,-6.99
230,3.54,0.73,-8.17
240,3.79,0.93,-9.08
250,4.44,1.07,-9.86
260,3.19,0.42,-8.04
270,3.0,0.86,-9.75
280,4.19,-0.22,-8.7
290,3.65,-0.22,-9.94
300,4.14,-0.47,-10.76
310,4.93,-0.78,-11.53
320,5.56,-0.85,-12.54
330,5.97,-0.71,-13.41
340,6.05,-0.24,-14.45
350,5.77,0.37,-15.15
360,5.08,0.67,-14.68
370,4.64,0.22,-12.79
380,4.63,-0.54,-10.8
390,4.84,-1.08,-9.89
400,5.22,-1.21,-10.21
410,5.64,-0.93,-11.28
420,5.77,-0.43,-12.36
430,5.7,0.0,-12.8
440,5.42,0.31,-12.85
450,5.15,0.43,-12.28
460,5.14,0.44,-11.37
470,5.08,0.6,-10.72
480,4.78,0.71,-10.12
490,4.33,0.92,-9.6
500,4.02,1.22,-9.4
510,3.83,1.45,-9.25
520,3.68,1.66,-9.3
530,3.57,1.86,-9.43
540,3.39,1.9,-9.36
550,3.39,1.85,-9.36
560,3.58,1.73,-9.28
570,3.82,1.55,-9.1
580,3.98,1.48,-9.26
590,4.14,1.42,-9.76
600,4.42,1.17,-10.09
610,4.74,0.76,-10.07
620,4.96,0.53,-10.15
630,5.02,0.33,-9.96
640,5.0,0.12,-9.69
650,5.15,-0.09,-9.51
660,5.26,-0.2,-9.62
670,5.39,-0.23,-9.79
680,5.37,-0.31,-9.88
690,5.37,-0.4,-10.01
700,5.37,-0.43,-9.92
710,5.05,-0.42,-9.71
720,4.81,-0.34,-9.44
730,4.02,-0.29,-8.91
740,3.35,-0.58,-7.47
750,3.4,-0.76,-6.42
760,3.26,-0.62,-6.79
770,3.52,-0.76,-7.04
780,4.2,-0.95,-7.21
790,4.54,-0.87,-7.99
800,4.26,-0.83,-8.27
810,4.02,-0.89,-7.73
820,4.05,-0.91,-7.42
830,4.12,-0.92,-7.45
840,4.13,-0.82,-7.75
850,4.02,-0.66,-7.88
860,3.67,-0.55,-7.58
870,3.45,-0.37,-7.41
880,3.49,-0.2,-7.54
890,3.51,-0.05,-7.59
900,3.34,0.2,-7.59
910,2.97,0.33,-7.05
920,2.79,0.43,-6.5
930,2.72,0.54,-6.45
940,2.97,0.55,-6.46
950,3.36,0.45,-6.53
960,3.68,0.44,-6.69
970,4.0,0.44,-6.89
980,4.39,0.38,-6.82
990,4.44,0.28,-6.39
1000,4.4,0.33,-6.22
