timestamp,x,y,z
0,3.63,1.19,-7.5
10,3.34,1.34,-7.64
20,3.17,1.35,-7.28
30,2.89,1.47,-7.17
40,2.64,1.56,-7.06
50,2.52,1.64,-6.93
60,2.16,1.73,-6.67
70,1.74,1.91,-6.45
80,1.3,2.08,-6.4
90,0.81,2.14,-6.36
100,0.55,1.85,-5.87
110,0.45,1.49,-5.51
120,0.72,1.26,-5.95
130,1.31,1.21,-6.7
140,1.76,1.21,-7.17
150,2.1,1.23,-7.47
160,2.27,1.45,-8.02
170,2.08,1.65,-8.4
180,1.74,1.91,-8.65
190,1.19,1.89,-8.02
200,0.72,1.72,-6.99
210,0.3,1.45,-6.04
220,0.05,1.06,-5.06
230,0.24,0.78,-5.06
240,0.99,0.68,-6.13
250,1.68,0.65,-7.8
260,2.27,0.29,-8.78
270,2.5,-0.2,-9.38
280,2.91,-0.48,-10.39
290,3.51,-0.9,-11.25
300,4.44,-0.78,-12.45
310,4.56,-0.99,-13.23
320,4.7,-1.23,-12.6
330,5.73,-0.97,-13.41
340,6.04,-0.3,-15.08
350,5.53,0.21,-14.82
360,4.24,0.21,-13.15
370,2.85,-0.06,-10.88
380,2.21,-0.37,-9.18
390,1.99,-0.38,-8.78
400,2.16,-0.17,-9.39
410,2.51,0.03,-10.26
420,2.85,0.2,-11.15
430,3.07,0.33,-11.79
440,3.2,0.35,-12.13
450,3.06,0.32,-11.85
460,2.61,0.18,-11.11
470,2.28,0.2,-10.59
480,2.17,0.27,-10.37
490,2.05,0.26,-10.06
500,1.91,0.25,-9.72
510,1.8,0.08,-9.22
520,1.89,0.07,-9.21
530,2.0,0.16,-9.51
540,2.11,0.26,-9.8
550,2.06,0.35,-9.98
560,1.87,0.47,-10.09
570,1.7,0.48,-9.99
580,1.55,0.54,-9.83
590,1.4,0.53,-9.46
600,1.3,0.53,-9.16
610,1.1,0.61,-8.96
620,0.79,0.73,-8.97
630,0.7,0.77,-8.89
640,0.47,0.84,-8.87
650,0.26,0.84,-8.73
660,0.21,0.81,-8.67
670,0.37,0.76,-8.82
680,0.62,0.69,-8.92
690,0.73,0.63,-8.97
700,0.9,0.59,-8.95
710,0.9,0.56,-8.96
720,0.93,0.57,-8.96
730,0.94,0.61,-9.04
740,1.08,0.64,-9.18
750,1.17,0.64,-9.21
760,1.22,0.66,-9.22
770,1.09,0.82,-9.22
780,0.95,1.02,-9.26
790,1.07,1.19,-9.52
800,1.3,1.3,-9.65
810,1.52,1.44,-10.03
820,1.82,1.56,-10.37
830,2.09,1.69,-10.72
840,2.29,1.85,-11.14
850,2.58,2.05,-11.69
860,2.57,2.28,-12.11
870,2.32,2.41,-11.81
880,2.1,2.47,-11.35
890,1.98,2.47,-10.9
900,1.95,2.32,-10.24
910,2.02,2.07,-9.62
920,2.27,1.87,-9.29
930,2.49,1.61,-8.7
940,2.7,1.46,-8.84
950,3.11,1.24,-9.36
960,3.74,1.07,-10.25
970,4.33,0.99,-10.96
980,4.58,0.84,-11.37
990,4.61,0.71,-11.51
1000,4.6,0.56,-11.36
