timestamp,x,y,z
0,6.35,1.68,-6.86
10,6.22,1.61,-6.76
20,6.24,1.69,-6.9
30,6.38,1.77,-7.17
40,6.58,1.82,-7.37
50,6.62,1.85,-7.35
60,6.49,1.84,-7.22
70,6.25,1.87,-6.73
80,5.86,1.82,-6.3
90,5.67,1.84,-6.33
100,5.93,1.82,-6.7
110,6.45,1.78,-6.87
120,6.93,1.68,-7.09
130,7.01,1.65,-6.84
140,6.58,1.7,-6.42
150,6.03,1.85,-6.21
160,5.45,1.83,-5.77
170,4.67,1.9,-5.78
180,4.07,2.02,-6.07
190,4.05,2.08,-6.16
200,4.52,1.75,-6.01
210,4.84,1.53,-6.08
220,5.08,1.44,-6.65
230,4.94,1.62,-7.64
240,4.94,1.9,-8.57
250,4.61,2.09,-8.79
260,4.49,2.04,-8.45
270,4.2,1.87,-7.81
280,3.73,1.73,-7.33
290,3.82,1.65,-7.14
300,4.25,1.58,-7.63
310,4.71,1.57,-8.21
320,4.67,1.58,-8.0
330,4.64,1.7,-8.12
340,4.57,1.64,-7.9
350,4.2,1.44,-7.14
360,4.17,1.11,-6.32
370,4.42,0.84,-5.85
380,6.14,1.21,-6.39
390,4.12,0.51,-5.75
400,4.99,1.41,-7.43
410,5.33,1.31,-7.44
420,4.65,1.56,-7.79
430,4.42,1.64,-7.93
440,4.25,1.46,-7.52
450,4.53,1.33,-7.53
460,5.02,1.3,-8.18
470,5.37,1.46,-8.79
480,5.72,1.74,-9.63
490,6.02,1.84,-9.72
500,5.78,1.85,-9.53
510,4.79,1.89,-8.87
520,4.04,1.38,-6.84
530,4.04,1.13,-5.83
540,4.37,1.49,-6.82
550,4.66,1.66,-8.39
560,4.85,1.65,-9.32
570,5.63,1.58,-9.55
580,6.73,1.3,-9.31
590,6.61,0.79,-7.88
600,6.41,0.55,-7.12
610,6.59,0.68,-7.89
620,7.31,0.9,-8.94
630,8.15,1.06,-9.87
640,8.54,1.19,-10.2
650,7.97,1.47,-10.3
660,6.67,1.92,-10.12
670,5.44,2.07,-9.34
680,4.58,2.03,-8.11
690,4.2,1.67,-7.35
700,4.4,1.59,-7.1
710,5.51,2.05,-8.61
720,6.19,1.99,-8.47
730,6.22,1.99,-8.53
740,6.14,2.0,-8.61
750,6.52,1.9,-8.43
760,6.86,1.85,-8.05
770,6.73,2.04,-8.15
780,6.13,2.39,-8.55
790,5.64,2.77,-9.0
800,5.55,3.03,-9.26
810,5.61,3.09,-9.1
820,5.29,3.12,-8.74
830,4.94,3.22,-8.68
840,4.83,3.25,-8.62
850,4.76,3.26,-8.75
860,4.72,3.29,-8.88
870,4.27,3.15,-8.76
880,4.14,3.04,-8.52
890,4.49,2.76,-8.42
900,4.8,2.45,-8.08
910,4.82,2.41,-8.51
920,4.93,2.42,-9.29
930,5.1,2.32,-9.47
940,5.41,2.15,-9.58
950,5.37,1.76,-9.12
960,5.26,1.64,-9.29
970,5.06,1.37,-9.1
980,5.15,0.92,-8.39
990,5.29,0.48,-7.45
1000,5.28,0.14,-6.58
