timestamp,x,y,z
0,7.16,0.54,-6.82
10,6.99,0.6,-6.53
20,6.76,0.67,-6.28
30,6.54,0.72,-6.21
40,6.46,0.71,-6.09
50,6.38,0.73,-6.09
60,6.33,0.79,-6.12
70,6.33,0.83,-6.18
80,6.34,0.86,-6.24
90,6.31,0.83,-6.22
100,6.25,0.78,-6.15
110,6.18,0.71,-6.08
120,6.32,0.89,-6.86
130,5.93,0.5,-5.71
140,5.86,0.68,-6.34
150,6.09,0.57,-6.45
160,6.12,0.67,-6.76
170,5.71,0.81,-6.68
180,5.43,0.64,-5.99
190,5.24,0.67,-6.08
200,5.24,0.82,-6.58
210,4.52,0.86,-6.01
220,4.19,1.31,-6.79
230,3.81,1.82,-7.52
240,3.54,1.94,-7.6
250,3.47,2.18,-8.11
260,3.54,2.24,-8.48
270,3.12,2.52,-8.34
280,2.42,2.29,-6.67
290,1.88,2.01,-4.83
300,0.95,1.75,-2.77
310,-0.14,1.86,-2.22
320,0.03,1.72,-1.61
330,0.21,1.6,-1.59
340,0.61,1.68,-2.44
350,1.0,1.73,-3.53
360,1.27,1.87,-5.33
370,2.25,1.72,-6.78
380,3.17,1.49,-7.98
390,4.0,1.13,-8.51
400,4.97,0.76,-8.98
410,6.01,0.66,-10.0
420,6.78,0.65,-10.72
430,7.22,0.73,-11.07
440,7.12,0.47,-10.76
450,6.89,-0.16,-9.8
460,6.57,-0.69,-9.52
470,7.1,-0.5,-10.98
480,7.68,0.01,-13.87
490,8.15,-0.06,-12.93
500,7.74,-0.01,-11.89
510,8.6,0.0,-11.85
520,7.9,0.45,-11.81
530,7.04,0.64,-11.1
540,6.18,0.55,-9.89
550,5.31,0.61,-9.05
560,4.92,0.61,-8.54
570,5.33,0.84,-9.56
580,5.88,1.28,-11.07
590,5.97,1.81,-12.14
600,5.81,2.23,-12.45
610,5.45,2.43,-12.01
620,5.11,2.52,-11.25
630,4.81,2.44,-10.08
640,4.48,2.29,-8.91
650,4.17,2.15,-7.95
660,4.07,2.05,-7.48
670,4.15,1.98,-7.61
680,4.56,2.05,-8.28
690,4.97,2.08,-8.77
700,5.35,2.04,-8.93
710,5.69,2.15,-9.58
720,6.09,2.19,-10.04
730,6.12,2.29,-10.31
740,5.61,2.35,-10.01
750,5.24,2.43,-9.63
760,5.15,2.52,-9.6
770,5.25,2.56,-9.67
780,5.55,2.63,-9.93
790,6.03,2.63,-10.3
800,6.41,2.57,-10.56
810,6.7,2.41,-10.7
820,6.77,2.18,-10.5
830,6.79,1.91,-10.13
840,6.78,1.66,-9.68
850,6.96,1.4,-9.22
860,7.15,1.28,-8.95
870,7.36,1.06,-8.54
880,7.54,1.02,-8.82
890,7.6,0.98,-9.03
900,7.53,0.96,-9.11
910,7.21,0.92,-8.86
920,6.54,0.9,-8.51
930,6.26,0.78,-7.81
940,5.88,0.57,-7.2
950,5.49,0.18,-6.69
960,5.31,-0.08,-6.5
970,4.94,-0.31,-6.43
980,4.47,-0.6,-5.99
990,4.64,-0.98,-5.84
1000,5.42,-1.21,-6.06
