timestamp,x,y,z
0,4.22,2.27,-7.89
10,4.46,2.13,-8.17
20,4.59,1.78,-8.12
30,4.38,1.59,-7.93
40,4.71,1.08,-6.96
50,4.59,0.8,-6.23
60,4.59,0.67,-5.95
70,4.53,0.56,-6.23
80,5.01,0.74,-7.33
90,5.31,0.85,-7.71
100,5.61,0.89,-8.01
110,6.12,0.74,-7.78
120,5.92,0.71,-7.39
130,5.82,0.75,-7.16
140,5.85,0.83,-7.0
150,5.98,0.82,-6.62
160,5.73,0.7,-5.8
170,5.61,0.59,-4.97
180,5.43,0.52,-4.77
190,5.91,0.31,-4.82
200,6.32,0.19,-5.03
210,6.33,0.31,-5.25
220,6.08,0.54,-5.41
230,5.64,0.82,-5.48
240,4.51,1.28,-5.7
250,3.71,1.47,-5.6
260,3.4,1.42,-5.28
270,3.7,1.19,-4.71
280,4.1,1.16,-4.84
290,4.53,1.08,-5.06
300,4.8,0.89,-5.05
310,4.69,0.82,-4.93
320,4.34,0.79,-5.02
330,3.84,0.69,-4.82
340,3.72,0.78,-5.71
350,4.37,0.8,-7.01
360,5.33,0.76,-8.05
370,5.98,0.79,-8.99
380,6.03,0.84,-9.47
390,6.09,0.85,-9.39
400,6.15,0.7,-8.91
410,5.76,0.16,-7.22
420,6.14,-0.28,-6.22
430,6.62,-0.23,-6.78
440,6.99,0.12,-8.32
450,7.18,0.46,-9.43
460,7.11,0.84,-10.66
470,7.01,0.85,-10.59
480,6.96,0.45,-9.29
490,6.5,0.1,-8.28
500,6.27,-0.03,-8.29
510,6.29,0.01,-8.99
520,6.46,0.16,-9.74
530,6.89,0.1,-9.43
540,7.12,0.35,-10.26
550,7.44,0.68,-10.67
560,7.22,0.04,-9.13
570,6.23,-0.3,-7.38
580,5.75,0.09,-8.71
590,5.8,-0.09,-8.73
600,6.03,-0.17,-9.02
610,6.6,-0.25,-9.55
620,7.01,-0.22,-10.12
630,6.82,-0.02,-10.77
640,6.67,0.27,-11.45
650,6.51,0.33,-11.38
660,6.21,0.32,-10.77
670,5.68,0.16,-9.57
680,5.3,0.08,-8.74
690,5.32,0.05,-8.4
700,5.63,0.21,-8.88
710,5.9,0.44,-9.45
720,5.92,0.58,-9.48
730,6.11,0.55,-9.1
740,6.21,0.55,-8.94
750,6.05,0.7,-8.98
760,5.76,1.0,-9.41
770,5.66,1.23,-9.65
780,5.73,1.37,-9.66
790,5.88,1.33,-9.36
800,6.04,1.2,-8.98
810,6.14,1.1,-8.69
820,6.07,1.1,-8.68
830,6.14,0.99,-8.39
840,6.51,0.73,-8.06
850,6.8,0.52,-7.9
860,7.06,0.34,-7.87
870,7.29,0.2,-8.05
880,7.5,0.24,-8.8
890,7.62,0.31,-9.46
900,7.96,0.22,-9.52
910,8.39,0.06,-9.56
920,8.35,-0.06,-9.27
930,7.99,-0.16,-8.35
940,7.56,-0.22,-7.46
950,7.21,-0.27,-7.02
960,7.33,-0.47,-6.62
970,7.4,-0.62,-6.39
980,7.0,-0.31,-7.3
990,6.6,0.09,-8.32
1000,6.02,0.23,-8.19
