timestamp,x,y,z
0,5.87,2.15,-7.12
10,5.78,2.18,-7.14
20,5.7,2.24,-7.33
30,5.59,2.33,-7.59
40,5.41,2.44,-7.77
50,5.31,2.49,-7.64
60,5.35,2.44,-7.39
70,5.35,2.34,-7.23
80,5.2,2.32,-7.08
90,5.06,2.29,-7.03
100,4.92,2.18,-6.6
110,4.81,2.11,-6.43
120,4.79,2.1,-6.34
130,4.78,2.1,-6.42
140,4.91,2.01,-6.72
150,4.99,1.79,-6.3
160,4.93,1.66,-6.14
170,4.86,1.48,-6.11
180,4.88,1.35,-6.03
190,4.91,1.25,-6.11
200,5.02,1.18,-6.36
210,5.17,1.01,-6.18
220,5.21,0.98,-6.38
230,5.38,0.93,-6.64
240,5.54,0.86,-6.66
250,5.53,0.75,-6.63
260,5.57,0.61,-6.56
270,5.59,0.54,-6.69
280,5.48,0.46,-6.56
290,5.43,0.56,-6.63
300,4.93,0.28,-5.99
310,5.77,0.7,-7.27
320,5.11,0.9,-8.07
330,5.2,0.95,-7.89
340,5.35,0.88,-7.57
350,5.34,0.79,-7.24
360,5.2,0.8,-7.1
370,5.16,0.78,-7.03
380,5.25,0.7,-6.99
390,5.48,0.7,-7.45
400,5.6,0.7,-7.98
410,5.68,0.71,-8.52
420,5.78,0.66,-8.6
430,5.83,0.65,-8.67
440,5.74,0.73,-8.83
450,5.71,0.82,-8.87
460,5.79,0.83,-8.83
470,5.93,0.87,-8.92
480,6.0,1.02,-9.35
490,6.09,1.16,-9.73
500,6.12,1.24,-9.95
510,5.98,1.39,-10.28
520,5.86,1.53,-10.41
530,5.68,1.59,-10.15
540,5.6,1.59,-9.56
550,5.52,1.5,-8.94
560,5.4,1.35,-8.52
570,5.23,1.24,-8.35
580,5.25,1.09,-8.21
590,5.2,1.08,-8.6
600,5.16,1.07,-9.18
610,5.23,0.97,-9.19
620,5.25,0.77,-8.92
630,5.28,0.58,-8.57
640,5.44,0.37,-8.27
650,5.47,0.11,-8.05
660,5.57,-0.06,-7.87
670,5.83,-0.19,-8.02
680,6.06,-0.35,-8.31
690,6.23,-0.43,-8.55
700,6.39,-0.52,-8.69
710,6.56,-0.52,-9.0
720,6.74,-0.5,-9.11
730,6.8,-0.42,-9.26
740,6.73,-0.23,-9.47
750,6.62,-0.02,-9.35
760,6.14,0.22,-9.19
770,5.39,0.56,-9.04
780,4.89,0.97,-9.2
790,4.71,1.31,-9.07
800,4.63,1.61,-8.76
810,4.56,1.87,-8.45
820,4.54,2.12,-8.21
830,4.55,2.37,-8.01
840,4.54,2.72,-8.13
850,4.33,3.1,-8.25
860,3.38,3.65,-9.91
870,5.04,2.99,-5.94
880,3.55,3.89,-8.94
890,4.09,4.63,-10.11
900,4.31,4.75,-9.44
910,4.36,4.89,-9.28
920,4.49,5.05,-9.22
930,4.64,5.1,-8.94
940,4.88,4.94,-8.06
950,4.78,4.9,-7.34
960,4.46,5.02,-7.21
970,4.22,5.17,-7.19
980,4.04,5.39,-7.61
990,4.05,5.57,-7.98
1000,4.3,5.6,-8.14
