timestamp,x,y,z
0,5.72,0.86,-8.25
10,4.6,1.26,-8.08
20,3.92,1.58,-7.72
30,3.54,1.77,-7.66
40,3.54,1.89,-7.65
50,3.49,2.02,-7.66
60,3.45,2.15,-7.88
70,3.35,2.25,-7.81
80,3.22,2.34,-7.37
90,3.3,2.37,-7.0
100,3.49,2.4,-6.85
110,3.19,2.54,-6.87
120,2.53,2.72,-7.02
130,2.1,2.84,-7.05
140,2.01,2.82,-7.05
150,1.66,2.82,-7.39
160,1.49,2.75,-8.56
170,2.04,2.49,-8.71
180,2.54,1.91,-7.58
190,2.95,1.44,-6.81
200,2.95,1.28,-6.96
210,3.06,1.3,-7.48
220,3.08,1.32,-8.16
230,3.08,1.26,-8.68
240,3.22,1.2,-8.93
250,3.47,1.11,-8.87
260,3.64,0.93,-8.43
270,3.74,0.71,-7.6
280,3.83,0.67,-5.8
290,3.64,0.34,-6.47
300,3.59,-0.21,-5.68
310,4.71,-0.37,-6.23
320,4.5,-0.65,-6.2
330,4.14,-0.53,-7.03
340,3.69,-0.32,-8.08
350,3.3,-0.24,-8.86
360,3.35,-0.49,-9.01
370,4.06,-0.79,-9.17
380,4.56,-1.13,-9.2
390,5.04,-1.42,-9.05
400,5.43,-1.56,-9.09
410,5.62,-1.68,-9.08
420,5.46,-1.62,-8.97
430,5.08,-1.58,-8.84
440,5.35,-1.59,-8.45
450,3.85,-1.5,-9.05
460,4.65,-1.46,-8.75
470,3.99,-0.97,-10.12
480,3.43,-0.83,-9.93
490,2.9,-0.39,-10.72
500,2.51,-0.14,-10.48
510,2.38,-0.07,-10.11
520,2.28,-0.07,-9.43
530,1.86,-0.08,-8.66
540,1.62,-0.1,-7.84
550,1.22,-0.14,-7.05
560,1.26,-0.2,-6.86
570,1.55,-0.2,-7.51
580,2.04,-0.14,-8.67
590,2.99,0.24,-9.54
600,3.28,0.41,-9.79
610,2.51,0.38,-9.77
620,1.89,0.21,-10.71
630,1.64,0.69,-13.51
640,1.51,0.94,-14.88
650,1.62,1.08,-15.45
660,2.03,0.71,-14.58
670,2.65,0.17,-13.09
680,3.05,-0.38,-11.26
690,3.07,-0.65,-10.38
700,3.02,-0.65,-10.28
710,3.06,-0.57,-10.6
720,2.9,-0.41,-11.3
730,2.74,-0.06,-11.88
740,2.24,0.34,-11.87
750,1.69,0.72,-11.48
760,1.09,1.09,-11.13
770,0.78,1.39,-10.63
780,0.7,1.71,-10.15
790,0.55,1.96,-9.47
800,0.41,2.41,-9.52
810,0.1,2.79,-9.43
820,-0.31,3.08,-9.14
830,-0.51,3.47,-9.3
840,-1.11,3.95,-10.23
850,-1.75,4.45,-10.96
860,0.74,4.7,-11.09
870,-1.83,4.75,-11.18
880,-1.93,5.41,-12.34
890,-1.58,5.54,-11.51
900,-1.4,5.51,-10.67
910,-1.06,5.34,-9.79
920,-0.7,5.15,-8.72
930,-0.55,5.09,-8.29
940,-0.24,5.06,-7.98
950,-0.01,4.98,-7.58
960,0.3,4.86,-7.29
970,0.55,4.74,-7.11
980,0.67,4.63,-6.88
990,0.46,4.71,-7.01
1000,0.22,4.91,-7.66
