timestamp,x,y,z
0,5.41,3.79,-7.06
10,5.8,3.7,-7.19
20,5.58,3.96,-7.81
30,5.16,4.15,-8.01
40,4.89,4.24,-8.14
50,4.62,4.29,-8.17
60,4.36,4.32,-8.01
70,4.38,4.34,-7.53
80,4.64,4.27,-7.0
90,4.89,4.21,-6.79
100,4.82,4.29,-6.94
110,4.23,4.5,-7.11
120,3.86,4.76,-7.24
130,3.59,4.82,-7.07
140,3.66,4.79,-6.7
150,3.33,4.76,-6.44
160,3.46,4.86,-6.35
170,3.53,4.87,-6.1
180,3.44,4.98,-6.32
190,3.5,4.98,-6.38
200,3.54,4.96,-6.35
210,3.48,4.93,-6.29
220,3.42,4.87,-6.08
230,3.51,4.79,-5.98
240,3.5,4.67,-5.95
250,3.36,4.45,-5.62
260,4.22,4.33,-5.89
270,4.05,4.19,-6.36
280,4.25,4.24,-7.05
290,4.45,4.17,-7.33
300,4.6,4.15,-7.52
310,4.63,4.18,-7.7
320,4.63,4.16,-7.67
330,4.52,4.11,-7.33
340,4.42,4.05,-6.93
350,4.58,3.94,-6.43
360,4.42,4.08,-6.78
370,4.1,4.31,-7.13
380,3.83,4.31,-7.06
390,3.45,4.22,-6.59
400,3.38,4.0,-5.96
410,3.75,3.71,-5.52
420,3.93,3.61,-5.71
430,4.14,3.51,-6.19
440,4.44,3.4,-6.78
450,4.6,3.27,-6.89
460,4.55,3.2,-6.98
470,4.34,3.28,-7.19
480,4.05,3.23,-7.04
490,3.86,3.04,-6.53
500,4.15,2.83,-6.17
510,4.33,2.54,-5.88
520,4.7,2.45,-6.7
530,4.95,2.38,-7.49
540,5.25,2.17,-7.44
550,5.28,2.06,-7.27
560,4.9,2.05,-7.0
570,4.76,2.13,-7.61
580,4.71,2.15,-7.61
590,4.53,2.19,-7.58
600,4.52,2.21,-7.62
610,4.35,2.11,-7.37
620,4.29,2.14,-7.3
630,4.08,2.19,-7.0
640,3.72,2.4,-7.33
650,3.39,2.59,-8.05
660,3.37,2.64,-8.77
670,3.37,2.62,-8.94
680,3.13,2.69,-9.05
690,2.86,2.8,-9.0
700,2.53,2.96,-9.23
710,2.34,2.94,-9.04
720,2.45,2.88,-8.69
730,2.6,2.65,-8.3
740,3.01,2.4,-8.04
750,2.94,2.3,-8.05
760,2.98,2.33,-8.5
770,3.02,2.35,-8.71
780,2.87,2.27,-8.46
790,2.93,2.31,-8.13
800,2.11,2.29,-7.61
810,2.0,2.45,-9.03
820,2.36,2.66,-9.69
830,2.99,2.27,-8.85
840,3.35,2.28,-9.41
850,3.41,2.33,-9.59
860,3.38,2.37,-9.29
870,3.49,2.39,-9.24
880,3.85,2.41,-9.34
890,3.85,2.48,-9.68
900,3.51,2.39,-9.51
910,3.44,2.1,-8.67
920,3.29,2.05,-8.46
930,3.14,2.12,-8.78
940,3.18,2.17,-9.04
950,3.39,2.32,-9.37
960,3.3,2.36,-9.71
970,3.34,2.39,-10.51
980,3.85,2.14,-10.53
990,4.13,2.02,-10.64
1000,3.91,1.98,-10.33
