timestamp,x,y,z
0,3.52,2.35,-8.51
10,3.03,2.73,-8.92
20,2.35,3.16,-9.33
30,1.81,3.6,-9.7
40,1.75,3.86,-9.73
50,1.38,4.04,-9.42
60,1.24,4.14,-9.19
70,1.06,4.25,-8.48
80,0.64,4.33,-7.96
90,0.42,4.45,-7.65
100,-0.21,4.44,-7.09
110,-0.31,4.45,-6.46
120,-0.66,4.67,-6.65
130,-1.04,4.77,-6.49
140,-1.18,4.77,-6.18
150,-1.13,4.65,-5.91
160,-1.09,4.39,-5.32
170,-1.02,4.11,-4.91
180,-0.78,3.87,-5.25
190,-0.45,3.69,-5.92
200,-0.14,3.49,-6.4
210,0.12,3.19,-6.91
220,0.38,2.94,-7.51
230,0.49,2.55,-7.47
240,0.86,2.05,-6.97
250,1.12,1.64,-6.81
260,1.23,1.23,-6.61
270,1.48,0.9,-6.94
280,1.87,0.64,-7.47
290,2.16,0.45,-8.49
300,2.36,0.38,-9.47
310,2.37,0.32,-10.07
320,2.26,0.19,-10.39
330,2.16,0.09,-10.38
340,2.05,-0.09,-9.94
350,2.21,-0.16,-9.63
360,2.39,-0.15,-9.85
370,2.51,-0.08,-10.55
380,2.65,-0.01,-11.26
390,2.78,-0.09,-11.23
400,2.78,-0.13,-10.95
410,2.56,-0.13,-10.48
420,2.27,-0.05,-10.09
430,1.9,-0.07,-9.72
440,1.76,0.05,-9.63
450,2.06,0.11,-9.43
460,1.98,0.36,-10.04
470,1.43,0.61,-10.7
480,1.13,0.7,-10.95
490,1.37,0.66,-10.55
500,2.0,0.66,-10.17
510,1.88,0.97,-10.3
520,1.54,1.36,-10.68
530,1.19,1.62,-10.87
540,0.97,1.79,-11.03
550,1.29,2.07,-11.18
560,1.34,1.96,-10.58
570,1.41,1.89,-9.75
580,1.36,1.81,-9.18
590,1.41,1.71,-8.8
600,1.74,1.95,-9.02
610,1.26,2.18,-9.58
620,1.22,2.4,-10.17
630,1.09,2.71,-10.31
640,0.85,2.86,-10.48
650,0.7,3.17,-10.77
660,0.35,3.56,-11.24
670,0.25,3.9,-11.57
680,0.29,4.08,-11.41
690,0.24,4.29,-11.54
700,0.28,4.5,-11.76
710,0.13,4.65,-11.87
720,-0.09,4.85,-11.43
730,-0.49,4.88,-10.75
740,-0.59,4.85,-10.11
750,-0.5,4.77,-9.61
760,-0.58,4.81,-9.28
770,-0.79,4.99,-9.13
780,-0.91,5.13,-8.75
790,-1.14,5.34,-8.84
800,-1.04,5.27,-8.03
810,-0.77,5.2,-7.49
820,-0.59,5.15,-7.22
830,-0.41,5.18,-7.37
840,-0.34,5.2,-7.47
850,-0.16,5.18,-7.58
860,-0.0,5.13,-7.61
870,-0.12,5.14,-7.64
880,-0.16,5.12,-7.59
890,-0.1,5.09,-7.7
900,0.11,4.94,-7.48
910,0.28,4.81,-7.22
920,0.31,4.57,-6.81
930,0.31,4.42,-6.52
940,0.4,4.26,-6.13
950,0.51,4.05,-5.64
960,0.4,3.88,-5.44
970,0.31,3.74,-5.45
980,0.34,3.43,-5.12
990,0.61,3.06,-4.81
1000,0.9,2.75,-4.69
