timestamp,x,y,z
0,5.48,2.96,-7.46
10,5.41,3.05,-7.59
20,5.03,3.34,-8.14
30,4.89,3.61,-8.54
40,4.75,3.65,-7.98
50,4.49,3.84,-7.99
60,3.99,4.11,-7.96
70,3.68,4.34,-8.06
80,3.44,4.54,-8.17
90,3.2,4.71,-8.13
100,3.05,4.79,-8.09
110,2.89,4.83,-7.99
120,2.99,4.73,-7.57
130,2.72,4.89,-7.53
140,2.64,4.97,-7.47
150,2.55,5.09,-7.43
160,2.62,5.16,-7.27
170,2.57,5.18,-7.21
180,2.54,5.26,-7.2
190,2.62,5.21,-6.95
200,2.51,5.21,-6.76
210,2.47,5.25,-6.82
220,2.2,5.55,-7.56
230,1.9,5.95,-8.42
240,1.88,6.07,-8.63
250,1.94,5.99,-8.31
260,1.83,5.93,-7.88
270,1.76,5.84,-7.3
280,1.42,5.79,-6.79
290,1.19,5.74,-6.43
300,1.01,5.67,-6.0
310,1.19,5.45,-5.71
320,1.51,5.15,-5.49
330,1.95,4.89,-5.65
340,2.34,4.84,-6.1
350,2.6,4.84,-6.72
360,2.87,4.71,-6.84
370,2.89,4.66,-6.93
380,2.72,4.7,-6.96
390,2.44,4.56,-6.06
400,1.85,4.44,-5.47
410,1.78,4.3,-5.03
420,1.98,4.13,-4.89
430,2.21,3.96,-5.23
440,2.36,3.94,-6.13
450,2.31,4.04,-7.17
460,2.19,4.1,-7.62
470,1.97,4.1,-7.71
480,1.69,3.98,-7.39
490,1.76,3.55,-6.45
500,2.07,3.1,-5.55
510,2.39,2.8,-5.56
520,2.76,2.69,-6.43
530,3.2,2.6,-7.26
540,3.72,2.41,-7.64
550,3.79,2.38,-8.24
560,3.85,2.42,-8.91
570,3.8,2.25,-8.67
580,3.62,1.92,-7.72
590,3.46,1.68,-7.18
600,3.38,1.36,-6.9
610,3.45,1.13,-7.31
620,3.55,1.08,-7.97
630,3.65,1.15,-8.71
640,3.46,1.27,-9.19
650,3.31,1.25,-8.98
660,3.24,1.19,-8.74
670,3.02,1.11,-8.22
680,2.89,1.02,-7.52
690,2.85,1.07,-7.48
700,2.69,1.15,-8.15
710,2.96,1.11,-8.7
720,3.18,0.9,-8.51
730,3.28,0.82,-8.68
740,3.23,0.93,-9.29
750,3.32,0.95,-9.21
760,3.1,1.16,-9.52
770,3.03,1.01,-8.94
780,2.94,0.99,-8.39
790,2.86,0.99,-8.18
800,3.02,0.98,-9.01
810,3.08,0.95,-9.67
820,3.26,0.83,-9.97
830,3.19,0.76,-10.09
840,3.2,0.92,-10.56
850,2.94,1.19,-10.66
860,2.74,1.31,-10.62
870,2.78,1.36,-10.78
880,2.9,1.33,-10.7
890,3.05,1.26,-10.53
900,3.54,1.25,-10.75
910,4.03,1.38,-10.0
920,4.86,2.22,-9.18
930,2.24,3.09,-8.85
940,-0.09,3.74,-9.39
950,-0.07,3.98,-10.33
960,0.64,3.62,-11.01
970,0.81,2.99,-12.1
980,1.19,1.95,-13.32
990,3.52,0.93,-13.57
1000,5.21,-0.06,-11.52
