timestamp,x,y,z
0,7.07,1.06,-8.09
10,7.2,1.05,-8.1
20,7.09,1.01,-8.1
30,6.87,1.08,-8.16
40,6.71,1.15,-8.22
50,6.74,1.27,-8.31
60,6.53,1.29,-8.14
70,6.03,1.36,-7.64
80,4.93,1.65,-6.98
90,4.0,2.07,-6.44
100,3.15,2.45,-5.99
110,2.52,2.86,-5.91
120,2.1,3.22,-6.35
130,2.4,3.37,-6.69
140,2.8,3.37,-6.64
150,3.2,3.34,-6.59
160,3.31,3.29,-6.6
170,3.08,3.44,-6.73
180,2.58,3.68,-6.96
190,2.08,3.88,-7.17
200,1.86,3.9,-7.09
210,2.31,3.68,-6.96
220,2.74,3.37,-6.75
230,3.03,3.1,-6.68
240,3.37,2.73,-6.85
250,3.98,2.4,-7.07
260,4.41,2.09,-7.15
270,4.19,1.94,-7.13
280,3.66,1.92,-7.17
290,3.35,1.84,-7.04
300,3.4,1.62,-6.67
310,4.35,1.22,-6.88
320,4.55,0.57,-6.22
330,5.24,0.3,-6.65
340,5.18,0.14,-6.75
350,4.63,0.37,-7.39
360,4.21,0.35,-7.51
370,3.65,0.19,-6.9
380,3.56,0.01,-6.29
390,3.9,-0.28,-5.98
400,4.75,-0.46,-6.34
410,5.16,-1.61,-5.03
420,6.37,-1.18,-7.08
430,5.62,-0.74,-9.43
440,5.88,-0.83,-9.83
450,6.13,-1.05,-9.44
460,5.99,-1.06,-8.98
470,5.91,-1.1,-8.81
480,6.06,-1.23,-8.53
490,5.85,-1.02,-9.29
500,5.59,-0.88,-9.49
510,5.66,-1.07,-8.7
520,5.89,-1.11,-8.79
530,6.04,-0.88,-9.21
540,5.72,-0.63,-9.26
550,5.61,-0.61,-8.81
560,5.71,-0.51,-8.7
570,5.77,-0.28,-8.65
580,5.81,-0.2,-8.3
590,6.19,-0.23,-7.91
600,6.04,-0.29,-7.58
610,5.71,-0.47,-6.84
620,5.11,-0.52,-6.43
630,4.74,-0.39,-6.81
640,4.99,-0.28,-7.68
650,5.49,-0.17,-9.03
660,6.14,-0.2,-10.06
670,6.84,-0.26,-10.92
680,7.43,-0.34,-11.49
690,7.49,-0.26,-11.91
700,7.24,-0.11,-12.24
710,6.87,-0.01,-12.35
720,6.61,0.17,-12.49
730,6.44,0.46,-12.68
740,6.14,0.68,-12.47
750,5.93,0.93,-12.24
760,5.69,1.14,-11.87
770,5.53,1.21,-11.4
780,5.37,1.31,-10.97
790,5.13,1.54,-10.62
800,4.65,1.71,-10.05
810,4.08,1.97,-9.6
820,3.57,2.4,-9.75
830,3.16,2.87,-10.07
840,2.89,3.24,-10.22
850,2.82,3.47,-10.11
860,2.8,3.56,-9.91
870,2.9,3.7,-9.63
880,2.94,3.78,-9.23
890,3.02,3.8,-8.92
900,3.02,3.96,-8.8
910,2.75,4.22,-8.74
920,2.31,4.33,-8.45
930,1.91,4.49,-8.4
940,1.71,4.57,-8.0
950,1.77,4.42,-7.09
960,2.08,4.21,-6.49
970,2.18,4.06,-6.18
980,2.46,3.93,-6.09
990,2.75,3.78,-6.35
1000,2.97,3.62,-6.77
