timestamp,x,y,z
0,5.95,2.11,-6.66
10,5.98,2.08,-6.44
20,5.83,2.11,-6.46
30,5.59,2.19,-6.61
40,5.42,2.25,-6.73
50,5.47,2.22,-6.88
60,5.62,2.18,-7.06
70,5.57,2.2,-7.33
80,5.39,2.27,-7.43
90,5.16,2.35,-7.41
100,5.07,2.45,-7.46
110,5.06,2.52,-7.47
120,4.94,2.59,-7.26
130,4.54,2.66,-6.9
140,3.91,2.77,-6.5
150,3.36,2.79,-5.98
160,3.2,2.75,-5.8
170,3.39,2.67,-6.11
180,3.89,2.56,-6.81
190,4.33,2.44,-7.41
200,4.56,2.32,-7.65
210,4.57,2.05,-7.4
220,4.46,1.72,-6.82
230,4.08,1.44,-6.18
240,3.59,1.34,-5.63
250,3.82,0.94,-6.23
260,4.32,0.71,-6.19
270,4.47,0.77,-7.26
280,4.95,0.53,-7.58
290,5.42,0.31,-7.91
300,5.56,0.1,-7.91
310,5.33,-0.05,-7.75
320,4.7,-0.06,-7.49
330,4.34,-0.02,-7.27
340,4.32,0.04,-7.46
350,4.49,0.1,-7.84
360,4.64,0.07,-7.74
370,4.75,-0.02,-7.4
380,4.9,-0.37,-6.6
390,5.07,-0.57,-6.11
400,4.98,-0.6,-6.18
410,4.73,-0.55,-6.29
420,4.58,-0.46,-6.78
430,4.63,-0.35,-7.37
440,4.66,-0.27,-7.8
450,4.49,-0.18,-8.2
460,4.47,-0.11,-8.73
470,4.58,-0.08,-8.9
480,4.44,-0.09,-9.02
490,4.44,-0.17,-9.18
500,4.37,-0.17,-9.32
510,4.34,-0.14,-9.84
520,4.42,-0.11,-10.57
530,4.8,-0.16,-11.03
540,5.46,-0.34,-11.28
550,5.79,-0.41,-11.41
560,6.45,-0.31,-12.13
570,6.49,-0.2,-12.46
580,6.37,0.06,-12.92
590,5.77,0.23,-12.56
600,4.87,0.44,-11.85
610,4.38,0.65,-11.58
620,4.14,0.83,-11.43
630,5.74,1.06,-11.77
640,3.37,0.87,-9.87
650,3.9,0.49,-8.03
660,3.35,0.93,-8.73
670,3.25,1.06,-8.54
680,3.06,1.27,-8.65
690,3.13,1.22,-8.1
700,2.99,1.24,-8.05
710,2.71,1.35,-8.37
720,2.56,1.5,-8.82
730,2.68,1.76,-9.7
740,3.13,1.92,-10.45
750,3.51,2.05,-11.07
760,3.66,2.13,-11.28
770,3.64,2.17,-11.03
780,3.52,2.13,-10.33
790,3.54,2.06,-9.7
800,3.53,2.11,-9.31
810,3.32,2.38,-9.5
820,3.02,2.82,-9.98
830,2.9,3.16,-10.37
840,2.8,3.45,-10.67
850,2.84,3.47,-10.43
860,3.24,3.36,-9.94
870,3.34,3.11,-9.15
880,2.97,3.39,-9.79
890,3.02,3.7,-10.32
900,2.87,3.81,-10.32
910,2.98,3.77,-9.95
920,3.14,3.61,-9.38
930,3.32,3.48,-8.88
940,3.5,3.45,-8.67
950,3.71,3.39,-8.66
960,3.99,3.37,-8.83
970,4.14,3.37,-8.92
980,4.11,3.4,-8.83
990,4.04,3.42,-8.7
1000,4.12,3.35,-8.52
