timestamp,x,y,z
0,1.94,3.85,-8.57
10,1.51,4.1,-8.4
20,1.47,4.28,-8.33
30,1.07,4.2,-7.3
40,0.87,4.37,-6.78
50,0.33,4.37,-6.16
60,0.25,4.27,-5.5
70,0.29,4.17,-5.17
80,0.32,4.05,-5.36
90,0.29,3.93,-5.79
100,0.72,3.64,-6.02
110,1.23,3.3,-6.49
120,1.5,3.12,-7.04
130,1.53,2.81,-7.14
140,1.73,2.46,-7.25
150,1.93,2.1,-7.35
160,2.07,1.73,-7.23
170,2.26,1.51,-7.48
180,2.41,1.26,-7.85
190,2.69,1.08,-8.29
200,2.89,0.95,-8.7
210,2.73,0.85,-9.06
220,2.49,0.88,-9.28
230,2.25,0.8,-9.17
240,2.3,0.52,-8.67
250,2.13,0.32,-8.19
260,1.94,0.28,-8.29
270,1.84,0.33,-8.59
280,1.92,0.31,-8.71
290,2.2,0.2,-8.8
300,2.43,0.05,-8.68
310,2.14,-0.05,-8.77
320,2.56,-0.16,-8.93
330,3.59,-0.14,-9.08
340,2.16,-0.31,-9.58
350,2.07,0.07,-10.32
360,2.01,0.19,-10.53
370,1.97,0.35,-10.8
380,2.23,0.17,-10.39
390,2.36,0.12,-10.33
400,2.81,0.11,-10.58
410,2.57,0.4,-11.05
420,2.11,0.65,-11.39
430,2.09,0.8,-11.55
440,2.15,0.76,-11.37
450,1.99,0.67,-10.8
460,1.85,0.72,-10.52
470,1.73,0.77,-10.37
480,1.9,0.77,-10.62
490,1.91,0.92,-11.06
500,1.76,1.01,-11.15
510,1.58,1.16,-11.16
520,1.3,1.4,-11.19
530,1.24,1.61,-11.2
540,0.94,1.77,-11.11
550,0.74,2.11,-11.54
560,0.62,2.45,-11.96
570,0.42,2.8,-12.05
580,0.36,3.06,-11.91
590,0.26,3.25,-11.51
600,0.21,3.41,-10.99
610,0.14,3.55,-10.71
620,-0.01,3.85,-10.75
630,-0.21,4.1,-10.6
640,-0.27,4.32,-10.66
650,-0.33,4.49,-10.77
660,-0.39,4.54,-10.63
670,-0.43,4.51,-10.15
680,-0.94,4.76,-10.76
690,-0.78,4.61,-9.77
700,-0.74,4.5,-9.3
710,-0.64,4.52,-9.0
720,-0.5,4.35,-8.46
730,-0.15,4.19,-7.98
740,0.16,4.15,-7.98
750,0.42,4.16,-8.18
760,0.67,4.12,-8.13
770,0.7,4.09,-7.93
780,0.63,4.08,-7.83
790,0.71,4.02,-7.79
800,0.86,3.91,-7.81
810,1.0,3.85,-7.87
820,1.11,3.78,-8.0
830,1.23,3.68,-7.94
840,1.32,3.5,-7.65
850,1.55,3.35,-7.37
860,1.7,3.22,-7.16
870,1.91,3.16,-7.21
880,1.78,3.23,-7.18
890,1.54,3.33,-7.23
900,1.57,3.34,-7.09
910,1.47,3.29,-6.91
920,1.38,3.28,-6.83
930,1.35,3.22,-6.64
940,1.38,3.13,-6.19
950,1.45,3.08,-5.96
960,1.52,3.1,-6.0
970,1.62,3.06,-6.01
980,1.77,2.94,-5.99
990,1.89,2.78,-5.96
1000,2.15,2.52,-6.07
