timestamp,x,y,z
0,3.45,2.71,-8.68
10,3.23,2.87,-8.03
20,2.89,3.13,-7.77
30,2.46,3.41,-7.62
40,1.84,3.66,-7.4
50,1.32,3.9,-7.09
60,0.91,4.05,-6.95
70,0.69,4.21,-6.95
80,0.52,4.32,-7.1
90,0.45,4.38,-7.14
100,0.53,4.36,-7.17
110,0.61,4.34,-7.17
120,0.68,4.31,-6.99
130,0.69,4.23,-6.85
140,0.74,4.18,-6.57
150,0.75,4.04,-6.26
160,0.79,3.88,-6.07
170,0.87,3.67,-5.93
180,1.04,3.44,-6.09
190,1.18,3.08,-6.24
200,1.44,2.79,-6.51
210,1.6,2.43,-6.7
220,1.63,2.07,-6.25
230,2.13,1.9,-7.4
240,1.86,1.29,-6.99
250,2.04,1.26,-7.98
260,1.8,1.08,-8.38
270,1.75,0.99,-8.86
280,1.93,0.71,-8.78
290,2.21,0.27,-8.22
300,2.66,-0.31,-7.64
310,3.26,-0.82,-7.37
320,3.68,-1.23,-7.5
330,4.01,-1.44,-8.01
340,4.29,-1.61,-8.24
350,4.13,-1.56,-9.16
360,4.12,-1.55,-10.07
370,4.35,-1.5,-10.78
380,4.52,-1.42,-11.17
390,4.15,-1.35,-11.29
400,3.83,-1.4,-10.99
410,3.26,-1.29,-11.49
420,3.54,-1.33,-10.91
430,3.71,-1.31,-10.0
440,3.74,-1.39,-8.92
450,3.66,-1.37,-8.54
460,3.51,-1.06,-9.38
470,3.35,-0.91,-9.65
480,3.24,-0.77,-9.75
490,2.92,-0.7,-9.66
500,2.72,-0.67,-9.58
510,2.91,-0.81,-9.33
520,3.29,-0.94,-9.54
530,3.76,-0.91,-10.32
540,3.98,-0.73,-11.2
550,4.1,-0.2,-11.97
560,4.31,0.26,-12.52
570,4.33,0.75,-13.77
580,4.12,1.45,-15.14
590,3.79,2.09,-15.87
600,3.28,2.75,-16.64
610,2.41,3.01,-15.78
620,1.79,3.32,-14.96
630,1.09,3.58,-14.1
640,0.37,3.98,-13.77
650,-0.17,4.19,-12.5
660,-0.43,4.3,-11.0
670,-0.68,4.49,-9.98
680,-0.95,4.8,-9.56
690,-1.04,5.12,-9.25
700,-1.02,5.31,-9.07
710,-1.02,5.45,-8.93
720,-0.96,5.59,-8.94
730,-0.94,5.66,-8.86
740,-1.16,5.76,-8.73
750,-1.35,5.89,-8.67
760,-1.59,5.93,-8.47
770,-1.75,5.83,-7.95
780,-1.73,5.63,-7.05
790,-1.55,5.46,-6.39
800,-1.29,5.27,-5.87
810,-1.04,5.07,-5.47
820,-0.73,4.89,-5.32
830,-0.62,4.69,-5.31
840,-0.4,4.41,-4.97
850,-0.22,4.02,-4.58
860,0.17,3.76,-4.35
870,0.27,3.58,-4.45
880,0.4,3.4,-4.68
890,0.71,3.09,-4.75
900,1.08,2.74,-5.05
910,1.4,2.36,-5.2
920,1.82,2.02,-5.17
930,1.94,1.77,-5.18
940,1.77,1.68,-5.27
950,1.6,1.64,-5.33
960,1.41,1.58,-5.32
970,1.3,1.45,-5.32
980,1.48,1.25,-5.45
990,1.8,0.85,-5.36
1000,2.37,0.35,-5.12
