timestamp,x,y,z
0,4.69,1.12,-8.25
10,4.48,1.23,-8.1
20,4.29,1.34,-8.06
30,4.31,1.35,-8.09
40,4.32,1.4,-8.03
50,4.1,1.52,-7.98
60,3.75,1.62,-7.81
70,3.48,1.79,-7.57
80,3.28,1.97,-7.52
90,3.12,2.1,-7.38
100,3.22,2.19,-7.23
110,3.04,2.22,-7.23
120,3.08,2.31,-7.26
130,2.86,2.28,-6.83
140,2.36,2.18,-6.44
150,2.21,2.01,-6.1
160,2.29,1.75,-6.03
170,2.49,1.55,-6.38
180,2.8,1.39,-6.92
190,3.04,1.21,-7.42
200,3.17,1.05,-7.74
210,3.16,0.9,-7.9
220,3.05,0.78,-8.12
230,2.95,0.64,-8.06
240,2.98,0.38,-7.58
250,3.02,0.06,-7.22
260,3.24,-0.41,-7.02
270,3.75,-0.86,-6.79
280,4.17,-1.17,-7.0
290,4.35,-1.28,-7.35
300,6.26,-1.41,-7.3
310,4.58,-1.98,-6.71
320,4.33,-1.57,-8.94
330,4.88,-1.64,-9.24
340,5.18,-2.18,-8.15
350,4.91,-2.38,-8.04
360,4.85,-2.23,-8.62
370,4.92,-2.32,-8.5
380,4.87,-2.26,-8.93
390,4.89,-2.0,-9.73
400,4.83,-1.87,-10.18
410,5.02,-1.92,-9.97
420,4.95,-1.97,-9.61
430,4.8,-1.98,-9.57
440,4.7,-1.99,-9.88
450,4.81,-1.94,-10.12
460,4.93,-2.02,-10.19
470,5.12,-2.13,-9.93
480,5.24,-2.08,-10.07
490,5.55,-1.97,-9.97
500,5.74,-1.77,-9.98
510,5.97,-1.57,-9.87
520,5.92,-1.39,-9.97
530,5.96,-1.12,-10.27
540,5.66,-0.75,-10.43
550,5.17,-0.32,-10.44
560,4.88,0.35,-10.84
570,4.33,1.05,-11.35
580,3.65,2.04,-12.41
590,2.89,2.83,-12.98
600,2.32,3.34,-12.79
610,1.91,3.75,-12.57
620,1.96,4.16,-12.48
630,1.98,4.35,-11.9
640,1.8,4.55,-11.35
650,1.47,4.69,-10.88
660,1.24,4.73,-10.38
670,1.11,4.76,-9.95
680,1.07,4.84,-9.83
690,1.16,4.85,-9.53
700,1.3,4.74,-9.15
710,1.69,4.63,-8.77
720,1.85,4.58,-8.58
730,1.91,4.59,-8.55
740,1.82,4.63,-8.24
750,1.56,4.65,-8.09
760,1.48,4.62,-7.64
770,1.37,4.53,-6.84
780,1.07,4.53,-6.48
790,0.87,4.69,-6.67
800,0.57,4.76,-6.85
810,0.26,4.89,-7.66
820,0.31,4.94,-8.23
830,0.25,4.86,-8.33
840,-0.1,4.81,-8.57
850,-0.33,4.63,-8.1
860,-0.34,4.32,-7.62
870,-0.02,3.89,-6.94
880,-0.01,3.56,-6.66
890,0.17,3.27,-6.63
900,0.52,2.78,-5.76
910,0.78,2.34,-5.28
920,0.95,1.87,-4.72
930,1.23,1.48,-4.49
940,1.38,1.18,-4.69
950,1.45,0.8,-5.08
960,1.78,0.51,-5.79
970,1.64,0.16,-6.61
980,1.46,-0.03,-7.97
990,1.56,-0.23,-8.68
1000,1.8,-0.34,-9.24
