timestamp,x,y,z
0,4.7,1.59,-9.07
10,4.42,1.67,-8.99
20,4.35,1.73,-8.57
30,4.33,1.76,-8.06
40,3.96,1.88,-7.77
50,3.62,2.02,-7.61
60,3.3,2.16,-7.47
70,3.11,2.28,-7.39
80,2.89,2.4,-7.22
90,2.7,2.48,-6.9
100,2.54,2.51,-6.54
110,2.38,2.53,-6.44
120,2.43,2.66,-6.34
130,2.39,2.65,-6.24
140,2.44,2.76,-6.39
150,2.49,2.72,-6.49
160,2.6,2.61,-6.64
170,2.55,2.49,-6.7
180,2.4,2.35,-6.67
190,2.19,2.11,-6.6
200,2.12,1.79,-6.6
210,2.13,1.37,-6.39
220,2.25,0.99,-6.33
230,2.52,0.63,-6.43
240,2.73,0.33,-6.74
250,2.98,0.11,-7.18
260,3.24,-0.18,-7.4
270,3.29,-0.66,-6.76
280,2.42,-1.53,-5.36
290,4.18,-1.23,-6.88
300,3.56,-1.47,-7.6
310,3.93,-1.67,-8.07
320,4.06,-1.82,-8.8
330,4.21,-1.96,-9.5
340,4.84,-2.3,-9.53
350,5.15,-2.54,-10.13
360,5.51,-2.86,-10.38
370,5.67,-3.01,-11.12
380,5.71,-2.93,-12.38
390,5.97,-3.21,-11.64
400,5.91,-3.28,-11.22
410,5.72,-3.17,-11.01
420,5.44,-2.98,-10.69
430,5.44,-2.78,-10.18
440,5.14,-2.54,-9.54
450,4.8,-2.35,-8.77
460,4.19,-2.09,-8.65
470,4.05,-1.58,-8.96
480,4.03,-1.2,-8.6
490,3.89,-0.79,-8.86
500,3.31,-0.36,-9.11
510,3.07,-0.1,-9.21
520,3.36,0.18,-10.11
530,3.52,0.57,-11.67
540,4.05,0.9,-13.07
550,4.47,1.2,-14.11
560,4.62,1.55,-14.7
570,4.4,1.94,-14.63
580,3.94,2.34,-14.34
590,3.67,2.73,-14.03
600,3.32,2.99,-13.41
610,3.1,3.2,-12.46
620,2.64,3.34,-11.04
630,2.01,3.59,-9.97
640,1.54,4.04,-9.6
650,1.41,4.57,-9.7
660,1.41,5.1,-10.35
670,2.08,5.37,-10.47
680,2.79,6.18,-12.07
690,0.85,5.96,-10.0
700,-0.3,6.93,-11.86
710,-0.69,7.52,-11.83
720,-0.99,7.76,-10.7
730,-1.13,7.91,-10.49
740,-1.24,7.87,-9.98
750,-1.37,7.65,-8.83
760,-1.7,7.48,-8.26
770,-1.84,7.36,-8.28
780,-1.64,7.04,-8.21
790,-1.06,6.55,-8.11
800,-0.31,6.01,-8.09
810,0.24,5.45,-7.68
820,0.37,4.98,-6.99
830,0.45,4.57,-6.41
840,0.33,4.28,-6.17
850,0.31,3.91,-5.9
860,0.29,3.46,-5.66
870,0.45,3.07,-5.79
880,0.54,2.64,-5.8
890,0.45,2.2,-5.69
900,0.52,1.73,-5.59
910,0.71,1.16,-5.37
920,0.54,0.57,-5.55
930,1.03,0.23,-6.08
940,1.84,-0.2,-6.13
950,2.7,-0.37,-6.54
960,3.26,-0.41,-6.74
970,3.54,-0.51,-6.52
980,3.15,-0.83,-5.65
990,2.58,-1.37,-3.94
1000,2.19,-1.9,-2.96
