timestamp,x,y,z
0,-2.53,4.55,-8.23
10,-3.02,4.7,-8.38
20,-3.62,4.89,-8.89
30,-3.74,4.91,-9.02
40,-3.5,4.8,-8.82
50,-3.08,4.5,-8.38
60,-2.25,4.17,-8.09
70,-1.54,3.8,-7.86
80,-1.0,3.48,-8.06
90,-0.3,3.29,-8.61
100,-0.06,3.17,-9.41
110,-0.03,2.91,-9.98
120,-0.28,2.77,-10.17
130,-0.48,2.32,-9.65
140,-0.82,2.04,-9.32
150,-0.88,1.72,-9.57
160,-1.25,1.57,-10.34
170,-1.28,1.43,-11.02
180,-1.15,1.19,-10.93
190,-1.02,0.96,-10.36
200,-1.36,0.75,-9.21
210,-1.81,0.57,-8.03
220,-1.55,0.3,-7.36
230,-0.73,-0.27,-6.61
240,0.4,-0.96,-5.74
250,1.19,-1.29,-6.11
260,1.68,-1.43,-6.82
270,2.19,-1.63,-7.58
280,2.38,-1.91,-8.06
290,3.17,-2.49,-7.75
300,4.5,-3.06,-7.98
310,5.24,-3.52,-8.24
320,5.77,-3.98,-8.42
330,6.51,-4.51,-8.32
340,7.14,-5.08,-7.92
350,7.73,-5.42,-7.92
360,8.39,-5.46,-9.52
370,8.91,-6.12,-9.43
380,8.43,-6.16,-10.22
390,8.19,-6.0,-11.2
400,8.3,-5.99,-11.46
410,8.8,-6.05,-11.27
420,9.16,-5.87,-11.48
430,9.61,-5.74,-11.64
440,9.75,-5.45,-11.82
450,9.51,-5.1,-11.71
460,9.03,-4.81,-10.85
470,7.98,-4.45,-9.75
480,6.74,-4.01,-8.86
490,5.75,-3.68,-8.18
500,5.02,-3.4,-7.9
510,4.03,-3.16,-7.76
520,2.92,-2.84,-7.76
530,2.5,-2.67,-7.52
540,2.59,-2.69,-6.81
550,2.68,-2.67,-6.13
560,2.57,-2.64,-5.78
570,2.23,-2.47,-5.93
580,1.95,-2.32,-6.31
590,1.92,-2.3,-6.42
600,2.6,-2.37,-6.4
610,3.12,-2.55,-6.36
620,2.93,-2.49,-6.83
630,2.21,-2.19,-7.8
640,1.56,-1.87,-8.68
650,1.64,-1.6,-8.8
660,2.03,-1.46,-8.56
670,2.38,-1.78,-7.87
680,2.21,-1.37,-8.43
690,1.24,-1.06,-8.5
700,0.82,-0.79,-8.56
710,1.2,-0.59,-8.44
720,1.58,-0.5,-8.25
730,1.65,-0.34,-8.98
740,2.05,-0.12,-9.78
750,2.16,-0.04,-9.59
760,1.71,0.09,-9.45
770,1.63,0.36,-9.61
780,1.44,0.53,-9.73
790,1.43,0.67,-9.92
800,1.67,0.88,-10.35
810,1.14,1.14,-11.19
820,0.24,1.57,-11.88
830,-0.28,1.99,-12.17
840,-0.59,2.33,-12.04
850,-0.54,2.52,-11.37
860,-0.51,2.64,-10.54
870,-0.23,2.7,-10.0
880,1.62,3.22,-10.43
890,-0.13,3.11,-8.17
900,-1.71,3.48,-8.64
910,-1.75,3.16,-7.88
920,-1.18,5.05,-11.68
930,-2.95,5.1,-11.03
940,-2.29,4.62,-9.32
950,-1.22,4.76,-8.93
960,-0.72,4.73,-8.36
970,-0.58,4.66,-7.4
980,-0.32,4.67,-6.84
990,-0.23,4.61,-6.45
1000,-0.39,4.48,-6.09
