timestamp,x,y,z
0,0.1,5.4,-7.7
10,-0.37,5.91,-8.14
20,-0.61,6.28,-8.48
30,-0.74,6.5,-8.46
40,-1.15,6.74,-8.58
50,-1.22,7.01,-8.91
60,-1.77,7.17,-9.39
70,-2.27,7.47,-10.25
80,-2.66,7.33,-9.93
90,-2.67,7.06,-9.59
100,-2.75,6.65,-8.85
110,-2.37,6.0,-7.81
120,-0.86,5.3,-8.69
130,-2.46,5.13,-7.45
140,-2.88,4.94,-7.72
150,-2.03,4.01,-7.4
160,-1.51,3.23,-7.57
170,-0.97,2.62,-7.2
180,-0.6,2.04,-6.74
190,-0.26,1.27,-6.68
200,-0.37,0.67,-6.48
210,-0.76,0.53,-7.65
220,-0.91,0.34,-9.1
230,-0.51,-0.45,-8.55
240,0.48,-1.62,-7.36
250,1.98,-2.64,-7.16
260,4.87,-3.24,-9.36
270,2.61,-3.26,-10.7
280,3.89,-3.83,-10.91
290,3.53,-3.75,-11.98
300,3.62,-4.0,-12.29
310,3.89,-4.32,-12.07
320,4.06,-4.68,-11.7
330,4.78,-5.17,-10.89
340,5.26,-5.47,-10.57
350,4.99,-5.54,-10.57
360,5.31,-5.46,-11.2
370,4.8,-5.28,-11.8
380,4.52,-5.62,-11.28
390,4.36,-5.66,-10.9
400,3.95,-5.06,-11.78
410,3.97,-5.04,-11.19
420,4.36,-4.98,-10.46
430,4.57,-4.65,-10.42
440,4.87,-4.64,-9.98
450,4.99,-4.62,-9.18
460,4.2,-4.19,-9.23
470,2.95,-3.78,-9.22
480,2.36,-3.49,-8.99
490,2.91,-3.54,-8.42
500,4.36,-3.81,-7.89
510,4.84,-3.73,-7.9
520,4.12,-3.28,-8.46
530,3.11,-2.68,-9.05
540,2.46,-2.25,-9.05
550,2.4,-2.12,-8.32
560,2.57,-1.88,-7.81
570,2.27,-1.53,-7.65
580,1.98,-0.99,-7.64
590,2.15,-0.8,-7.45
600,2.96,-0.85,-6.7
610,2.95,-0.58,-6.93
620,1.98,0.18,-8.0
630,0.72,0.95,-8.59
640,0.04,1.59,-8.36
650,0.35,1.85,-7.36
660,1.15,1.81,-6.23
670,1.47,2.03,-6.71
680,1.36,2.57,-8.41
690,0.87,3.22,-10.04
700,0.97,3.72,-11.28
710,2.47,3.59,-10.88
720,3.18,3.5,-10.29
730,2.83,3.78,-10.12
740,2.2,4.01,-9.21
750,1.75,4.24,-8.16
760,1.28,4.44,-7.17
770,0.69,4.81,-7.26
780,0.51,5.14,-7.98
790,0.91,5.32,-8.8
800,1.77,5.38,-9.67
810,2.79,5.28,-10.31
820,3.21,5.28,-10.65
830,2.81,5.37,-10.54
840,2.32,5.59,-10.31
850,2.43,5.57,-9.09
860,2.67,5.36,-7.51
870,2.8,5.36,-6.98
880,2.64,5.48,-7.44
890,2.09,5.75,-8.94
900,2.12,5.93,-10.22
910,2.57,5.77,-10.52
920,2.79,5.71,-10.62
930,3.01,5.66,-10.5
940,3.18,5.58,-9.96
950,3.18,5.51,-9.31
960,2.37,5.59,-8.89
970,1.56,5.63,-8.9
980,0.59,5.46,-7.95
990,0.15,5.09,-7.3
1000,-0.66,4.88,-7.55
