timestamp,x,y,z
0,6.41,-1.61,-9.75
10,6.62,-1.93,-9.72
20,6.98,-2.2,-10.11
30,7.52,-2.44,-10.68
40,8.13,-2.76,-10.98
50,8.46,-3.11,-10.82
60,8.61,-3.43,-10.54
70,8.5,-3.56,-10.38
80,8.37,-3.58,-10.32
90,8.11,-3.45,-10.17
100,7.87,-3.38,-9.88
110,7.49,-3.39,-8.84
120,6.54,-3.33,-7.75
130,6.81,-3.19,-7.47
140,6.25,-2.9,-7.71
150,5.98,-2.65,-7.78
160,5.55,-2.35,-7.91
170,4.87,-2.01,-7.8
180,4.18,-1.39,-8.21
190,3.84,-0.8,-8.96
200,3.99,-0.32,-9.19
210,3.6,0.22,-8.8
220,2.46,0.93,-7.74
230,1.09,1.72,-6.27
240,0.12,2.44,-4.76
250,0.47,2.9,-4.01
260,1.19,3.35,-4.49
270,1.46,3.97,-5.83
280,2.49,4.39,-7.0
290,2.12,5.05,-8.37
300,2.02,5.39,-8.29
310,1.94,5.64,-7.91
320,1.9,5.9,-7.65
330,1.93,6.11,-7.93
340,2.69,6.16,-7.97
350,3.31,6.14,-7.71
360,3.22,6.35,-7.89
370,2.84,6.69,-7.86
380,2.41,6.88,-7.61
390,2.1,6.85,-7.09
400,1.9,6.78,-6.99
410,1.79,6.62,-6.77
420,1.8,6.35,-6.36
430,1.51,6.12,-6.18
440,1.74,5.8,-6.31
450,2.19,5.49,-6.84
460,2.68,5.2,-7.72
470,3.19,4.9,-8.95
480,3.31,4.84,-10.68
490,3.29,4.6,-11.1
500,3.34,4.15,-10.12
510,3.29,3.78,-8.83
520,3.43,3.38,-7.73
530,3.99,2.96,-7.07
540,3.52,2.65,-6.94
550,2.26,2.67,-7.5
560,1.39,2.61,-8.21
570,0.67,2.42,-9.1
580,0.07,1.99,-9.37
590,0.45,0.9,-8.06
600,2.11,-0.41,-7.14
610,3.38,-1.36,-7.35
620,3.85,-1.75,-8.57
630,3.9,-2.02,-9.55
640,3.84,-2.57,-9.55
650,3.76,-3.39,-7.92
660,3.64,-4.61,-6.29
670,5.51,-5.47,-6.74
680,5.9,-5.68,-9.49
690,6.89,-5.59,-11.13
700,8.77,-6.45,-9.99
710,8.76,-6.36,-10.55
720,8.39,-6.23,-10.29
730,6.78,-6.19,-9.45
740,7.71,-6.56,-8.28
750,7.57,-6.3,-8.49
760,7.37,-5.99,-8.73
770,7.05,-5.69,-8.55
780,6.66,-5.34,-8.25
790,6.12,-5.04,-7.52
800,6.51,-4.82,-7.35
810,6.23,-4.48,-7.46
820,6.48,-4.29,-7.46
830,6.29,-4.08,-7.35
840,5.65,-3.55,-7.75
850,5.11,-3.27,-7.93
860,4.61,-3.0,-7.94
870,4.34,-2.66,-8.44
880,3.86,-2.32,-8.75
890,3.9,-2.22,-8.61
900,3.39,-1.95,-8.06
910,3.05,-1.66,-8.3
920,2.48,-1.42,-7.77
930,1.99,-1.05,-7.47
940,2.65,-1.1,-7.3
950,2.89,-1.2,-6.56
960,2.72,-1.02,-7.08
970,2.91,-0.94,-7.5
980,3.13,-0.76,-8.5
990,3.4,-0.64,-9.17
1000,3.66,-0.69,-9.12
