timestamp,x,y,z
0,1.53,5.39,-5.83
10,1.41,5.49,-5.91
20,1.35,5.72,-6.33
30,1.4,5.94,-6.78
40,1.51,6.11,-7.4
50,1.96,5.95,-7.32
60,1.49,6.12,-7.53
70,0.5,6.44,-7.68
80,0.06,6.57,-7.82
90,0.04,6.58,-8.02
100,-0.06,6.78,-8.7
110,-0.66,7.2,-9.79
120,-0.88,7.8,-11.02
130,-0.81,8.02,-11.37
140,-1.3,8.06,-11.26
150,-1.58,7.66,-10.4
160,-2.16,7.13,-8.68
170,-2.37,6.36,-6.81
180,-2.23,5.65,-5.48
190,-2.54,5.18,-4.72
200,-2.15,4.21,-3.54
210,-1.04,2.77,-2.13
220,0.48,1.18,-1.32
230,2.34,-0.18,-2.3
240,4.89,-1.19,-4.9
250,7.71,-1.99,-7.92
260,10.12,-2.61,-9.96
270,11.17,-2.93,-10.72
280,10.94,-3.32,-10.16
290,10.31,-4.02,-8.13
300,10.04,-4.64,-6.71
310,10.63,-5.29,-6.17
320,11.25,-5.81,-6.44
330,13.16,-6.58,-7.05
340,14.93,-6.83,-8.74
350,14.72,-6.21,-10.64
360,13.75,-5.57,-11.02
370,12.68,-5.09,-10.31
380,11.31,-4.75,-9.12
390,10.04,-4.67,-7.53
400,8.74,-4.51,-6.31
410,7.99,-4.16,-5.94
420,7.39,-3.86,-5.6
430,6.31,-3.14,-6.15
440,4.87,-2.27,-6.7
450,4.13,-1.82,-6.67
460,3.93,-1.5,-6.71
470,3.68,-0.95,-7.42
480,3.18,-0.18,-8.15
490,2.58,0.63,-8.86
500,1.95,1.27,-8.88
510,1.59,1.72,-8.57
520,1.43,2.03,-8.1
530,1.29,2.49,-8.16
540,1.23,3.13,-8.88
550,1.44,3.73,-9.78
560,1.69,4.11,-9.88
570,1.82,4.42,-9.62
580,1.8,4.64,-9.09
590,1.59,4.94,-8.51
600,1.27,5.32,-8.1
610,0.96,5.73,-8.15
620,0.29,6.25,-8.25
630,-0.37,6.91,-8.75
640,-0.56,7.52,-9.51
650,-0.82,7.92,-10.08
660,-1.0,8.25,-10.2
670,-1.27,8.35,-9.94
680,-1.52,8.37,-9.53
690,-1.71,8.29,-9.23
700,-1.53,8.05,-9.15
710,-1.19,7.74,-9.06
720,-0.88,7.28,-9.06
730,-0.53,6.89,-9.25
740,-0.31,6.5,-9.4
750,-0.05,5.99,-8.99
760,-0.09,5.56,-8.47
770,-0.09,5.17,-8.24
780,-0.07,4.85,-8.06
790,0.03,4.52,-8.27
800,0.05,4.26,-8.75
810,0.1,4.14,-9.79
820,0.45,3.67,-10.11
830,1.15,2.72,-9.22
840,2.11,1.65,-8.19
850,3.3,0.71,-7.26
860,4.09,0.21,-7.43
870,4.65,-0.06,-8.28
880,5.65,-0.55,-9.14
890,6.07,-0.72,-9.76
900,5.5,-0.34,-10.8
910,4.57,-0.17,-10.91
920,3.77,-0.62,-9.63
930,3.84,-1.6,-7.36
940,4.74,-2.43,-5.69
950,5.41,-2.63,-5.86
960,6.05,-2.5,-6.84
970,6.59,-2.21,-8.21
980,7.0,-1.82,-9.59
990,7.41,-1.46,-10.41
1000,7.61,-1.34,-10.33
