timestamp,x,y,z
0,3.5,1.66,-8.52
10,3.16,1.86,-8.86
20,2.65,2.14,-9.25
30,2.39,2.47,-9.64
40,1.96,2.71,-9.62
50,1.2,3.07,-9.25
60,0.4,3.57,-8.99
70,-0.45,4.07,-8.95
80,-1.88,4.67,-9.25
90,-3.32,5.41,-10.07
100,-4.01,5.88,-10.27
110,-4.65,6.14,-10.12
120,-5.13,6.37,-10.13
130,-4.72,6.33,-9.73
140,-4.08,6.06,-9.18
150,-4.22,5.95,-9.03
160,-4.43,5.86,-9.48
170,-4.0,5.6,-9.89
180,-3.2,5.12,-9.66
190,-2.43,4.52,-9.07
200,-2.05,4.17,-9.22
210,-2.25,4.12,-9.7
220,-3.18,3.84,-9.25
230,-3.36,3.61,-8.84
240,-3.38,2.94,-7.02
250,-2.21,1.92,-5.23
260,-0.68,1.01,-4.81
270,0.3,0.36,-5.77
280,0.67,-0.14,-7.26
290,0.8,-0.51,-8.39
300,0.58,-0.99,-8.87
310,1.19,-1.64,-8.62
320,2.72,-2.62,-7.31
330,4.29,-3.55,-6.08
340,5.34,-4.11,-6.49
350,6.4,-4.33,-7.94
360,7.01,-4.51,-9.1
370,7.63,-4.84,-9.25
380,8.12,-5.12,-9.26
390,8.04,-5.3,-9.32
400,7.89,-5.54,-9.19
410,8.46,-5.88,-9.03
420,9.07,-6.18,-8.77
430,9.43,-6.36,-8.52
440,9.71,-6.48,-8.57
450,10.18,-6.56,-9.09
460,10.2,-6.53,-9.59
470,9.8,-6.38,-9.82
480,9.33,-6.06,-10.08
490,9.26,-6.01,-9.47
500,9.29,-5.83,-8.81
510,8.83,-5.6,-8.19
520,8.02,-5.21,-7.79
530,7.52,-4.97,-7.38
540,7.21,-4.76,-7.02
550,6.63,-4.4,-7.07
560,5.87,-4.06,-7.21
570,4.82,-3.68,-7.3
580,3.67,-3.25,-7.66
590,2.87,-2.89,-8.19
600,2.21,-2.48,-8.48
610,2.2,-2.15,-8.53
620,2.94,-2.03,-8.16
630,3.64,-1.94,-7.59
640,3.89,-1.87,-7.07
650,3.59,-1.69,-6.96
660,3.94,-1.69,-7.18
670,4.64,-1.77,-7.49
680,3.89,-1.59,-8.34
690,2.34,-1.08,-9.73
700,1.69,-0.52,-10.72
710,1.82,-0.28,-10.37
720,2.06,-0.1,-9.87
730,2.13,0.16,-9.71
740,2.35,0.42,-9.51
750,2.59,0.56,-8.98
760,2.61,0.67,-8.46
770,2.33,0.83,-8.26
780,1.44,1.25,-8.88
790,0.48,1.8,-9.88
800,-0.23,2.44,-10.77
810,-0.81,2.98,-11.28
820,-1.22,3.48,-11.51
830,-1.41,3.98,-11.23
840,-1.62,4.3,-10.18
850,-1.6,4.63,-9.36
860,-1.7,4.97,-8.67
870,-2.11,5.33,-8.51
880,-2.44,5.65,-8.88
890,-2.7,5.87,-9.45
900,-3.02,6.06,-9.83
910,-2.96,5.99,-9.5
920,-2.81,5.85,-9.08
930,-2.16,5.62,-8.75
940,-1.47,5.26,-8.1
950,-1.2,5.02,-7.84
960,-1.17,4.88,-7.99
970,-1.11,4.63,-8.08
980,-1.31,4.42,-7.9
990,-1.07,4.12,-8.05
1000,-1.02,3.51,-7.78
