timestamp,x,y,z
0,1.77,5.02,-7.72
10,0.64,5.61,-8.11
20,0.12,6.56,-9.55
30,0.31,7.43,-11.03
40,0.72,7.88,-12.29
50,0.69,7.63,-12.6
60,0.22,6.92,-12.17
70,-0.56,6.3,-11.72
80,-1.29,5.62,-11.28
90,-1.1,5.05,-10.98
100,-0.59,4.38,-10.28
110,-0.05,3.84,-9.66
120,0.42,3.56,-9.26
130,-1.8,2.49,-8.97
140,-0.79,1.11,-6.78
150,0.75,0.07,-7.52
160,2.95,-0.74,-9.09
170,4.16,-1.24,-9.03
180,5.55,-1.4,-8.88
190,4.81,-1.86,-9.34
200,5.23,-2.21,-6.85
210,4.53,-3.22,-6.69
220,5.87,-3.53,-8.38
230,5.97,-4.18,-11.19
240,10.62,-4.63,-7.03
250,10.62,-4.67,-8.01
260,9.0,-3.96,-10.36
270,8.35,-3.63,-9.7
280,8.61,-3.77,-9.01
290,8.05,-4.24,-6.95
300,7.91,-4.55,-6.81
310,8.08,-4.04,-9.12
320,8.48,-3.98,-7.87
330,8.18,-3.79,-8.6
340,7.76,-3.56,-8.66
350,7.56,-3.58,-7.88
360,7.35,-3.5,-7.25
370,6.74,-3.23,-7.47
380,6.2,-2.77,-7.38
390,5.57,-2.51,-7.26
400,5.49,-2.21,-7.38
410,5.56,-2.07,-7.78
420,5.7,-1.99,-7.64
430,5.78,-1.34,-7.17
440,5.7,-1.91,-6.32
450,5.21,-1.81,-8.37
460,5.74,-1.25,-8.3
470,5.36,-1.32,-6.61
480,5.4,-1.29,-6.51
490,5.19,-1.07,-7.1
500,4.83,-1.07,-6.73
510,4.74,-1.02,-6.35
520,4.65,-0.75,-6.46
530,4.69,-0.44,-6.5
540,4.64,-0.14,-6.63
550,4.42,0.3,-6.92
560,4.43,0.77,-7.55
570,4.21,1.12,-7.72
580,3.9,1.41,-7.68
590,3.5,1.67,-7.72
600,3.05,2.03,-7.94
610,2.74,2.38,-7.87
620,2.85,2.63,-7.7
630,2.53,2.83,-8.12
640,2.37,3.27,-8.79
650,2.31,3.76,-9.13
660,2.36,4.11,-9.46
670,2.54,4.19,-9.29
680,2.69,4.2,-8.94
690,2.51,4.37,-8.54
700,2.24,4.71,-8.32
710,2.1,5.22,-8.62
720,2.29,5.7,-9.29
730,2.94,5.93,-9.87
740,3.46,5.99,-9.73
750,3.53,6.08,-9.61
760,3.47,6.29,-9.74
770,3.43,6.57,-9.84
780,3.53,6.88,-10.5
790,3.68,7.02,-10.99
800,3.67,6.99,-11.17
810,3.6,6.61,-10.64
820,3.29,6.33,-10.4
830,3.17,6.05,-10.26
840,3.09,5.82,-10.11
850,3.05,5.62,-9.95
860,3.12,5.5,-9.98
870,3.28,5.3,-9.8
880,3.09,5.18,-9.78
890,2.47,4.88,-9.59
900,2.11,4.5,-8.94
910,1.68,4.23,-8.79
920,1.14,3.89,-8.57
930,1.21,3.49,-8.15
940,1.5,3.14,-7.88
950,1.62,3.06,-7.8
960,1.5,2.99,-8.09
970,1.19,2.8,-8.59
980,1.24,2.42,-8.86
990,1.41,1.68,-8.78
1000,2.05,0.96,-8.26
