timestamp,x,y,z
0,4.92,4.48,-7.89
10,3.82,5.15,-7.74
20,2.64,5.78,-7.67
30,1.78,6.41,-8.0
40,0.96,7.32,-9.22
50,0.29,8.29,-11.04
60,0.28,8.98,-12.37
70,0.3,9.17,-12.33
80,0.31,8.94,-11.33
90,-0.06,8.74,-10.74
100,-0.24,8.55,-10.77
110,0.22,8.33,-11.08
120,0.42,8.03,-11.0
130,0.09,7.91,-10.85
140,-0.68,7.67,-10.13
150,-2.19,7.26,-9.4
160,-3.28,6.54,-8.64
170,-2.56,5.07,-7.58
180,0.32,3.22,-6.96
190,3.35,1.63,-7.31
200,5.94,0.26,-7.41
210,6.93,-0.73,-6.92
220,6.29,-1.32,-6.19
230,5.63,-1.7,-5.84
240,5.77,-2.35,-5.54
250,6.56,-2.83,-6.67
260,7.75,-3.13,-8.24
270,8.13,-3.2,-9.26
280,7.7,-3.41,-9.01
290,8.01,-4.11,-7.39
300,8.95,-4.89,-5.63
310,9.01,-5.02,-5.21
320,8.77,-4.81,-5.49
330,8.32,-4.54,-5.58
340,8.06,-4.28,-5.77
350,8.11,-4.26,-5.6
360,8.14,-4.52,-4.91
370,8.24,-4.74,-4.79
380,8.31,-4.74,-5.04
390,7.93,-4.68,-5.17
400,7.54,-4.51,-5.38
410,7.13,-4.26,-5.77
420,7.07,-4.17,-5.77
430,7.07,-4.21,-5.38
440,7.43,-4.11,-5.49
450,7.56,-3.96,-5.58
460,7.71,-3.84,-5.98
470,7.99,-3.78,-6.54
480,8.2,-3.82,-6.85
490,7.94,-3.79,-6.68
500,7.19,-3.61,-6.48
510,6.65,-3.36,-6.79
520,6.62,-3.27,-6.89
530,6.41,-3.18,-6.45
540,5.89,-3.03,-5.51
550,5.66,-2.96,-4.66
560,6.14,-3.08,-4.44
570,6.59,-3.08,-4.9
580,6.34,-2.93,-5.58
590,5.91,-2.66,-6.37
600,5.52,-2.29,-7.11
610,5.1,-1.9,-7.27
620,5.15,-1.75,-6.5
630,4.96,-1.64,-5.59
640,4.85,-1.39,-5.68
650,4.87,-1.38,-5.82
660,5.03,-1.47,-6.36
670,4.95,-1.35,-7.68
680,4.89,-1.05,-8.77
690,4.51,-0.54,-9.52
700,4.28,0.11,-10.07
710,4.24,0.59,-10.11
720,4.16,1.01,-10.18
730,3.98,1.25,-10.02
740,3.75,1.4,-9.66
750,3.32,1.64,-9.5
760,2.76,2.05,-9.83
770,2.35,2.58,-10.34
780,1.88,3.16,-10.74
790,1.56,3.72,-11.2
800,1.55,4.17,-11.62
810,1.68,4.41,-11.69
820,1.7,4.53,-11.46
830,1.5,4.46,-10.84
840,2.3,4.45,-10.31
850,1.83,4.78,-10.55
860,1.26,5.18,-11.09
870,0.96,5.49,-11.44
880,0.84,5.67,-11.32
890,0.84,5.73,-10.97
900,1.0,5.71,-10.87
910,0.98,5.69,-11.09
920,0.97,5.65,-11.36
930,0.99,5.47,-11.27
940,0.86,5.38,-11.26
950,0.83,5.33,-11.46
960,0.99,5.15,-11.56
970,1.0,4.99,-11.71
980,1.28,4.9,-12.24
990,1.26,4.73,-12.42
1000,1.09,4.6,-12.4
