timestamp,x,y,z
0,1.36,7.42,-8.06
10,0.56,7.78,-7.12
20,-0.66,8.04,-5.73
30,-2.21,8.23,-4.65
40,-3.53,8.33,-4.14
50,-4.35,8.41,-5.1
60,-4.37,8.29,-6.93
70,-3.38,7.7,-8.03
80,-1.75,6.73,-8.7
90,0.16,5.64,-9.09
100,1.63,4.45,-9.11
110,1.67,3.75,-9.79
120,1.37,3.3,-10.73
130,0.98,2.76,-10.85
140,0.92,2.12,-10.37
150,0.89,1.38,-9.49
160,0.59,0.79,-8.66
170,1.15,-0.12,-6.68
180,1.47,-0.95,-5.73
190,2.2,-1.65,-5.47
200,2.97,-2.04,-6.44
210,3.3,-2.17,-8.01
220,3.11,-2.13,-9.32
230,2.92,-2.16,-9.71
240,3.8,-2.52,-8.72
250,3.11,-3.46,-6.42
260,3.76,-3.7,-6.11
270,4.49,-3.96,-6.83
280,4.79,-4.1,-8.59
290,5.57,-4.29,-9.8
300,6.29,-4.44,-10.3
310,7.1,-4.63,-10.93
320,6.35,-4.37,-11.53
330,5.95,-4.31,-10.97
340,5.77,-4.43,-9.7
350,5.83,-4.6,-8.39
360,5.68,-4.58,-7.75
370,5.29,-4.23,-8.5
380,5.53,-3.88,-9.64
390,5.14,-3.67,-9.84
400,5.35,-3.53,-9.6
410,5.22,-3.45,-9.0
420,4.85,-3.1,-9.01
430,4.25,-2.72,-9.04
440,3.51,-2.38,-8.59
450,3.35,-2.11,-8.25
460,3.2,-1.94,-7.58
470,3.03,-1.8,-7.42
480,3.24,-1.79,-7.16
490,3.47,-1.76,-6.48
500,3.19,-1.61,-6.64
510,3.08,-1.27,-6.77
520,2.56,-0.9,-7.78
530,2.8,-0.65,-7.84
540,2.54,-0.21,-7.61
550,2.04,-0.06,-7.66
560,1.97,0.34,-7.82
570,1.81,0.45,-7.57
580,1.97,0.7,-7.48
590,1.64,1.13,-7.85
600,1.41,1.57,-8.19
610,1.4,1.93,-8.28
620,1.29,2.15,-8.16
630,1.3,2.46,-8.29
640,1.07,2.76,-8.66
650,1.15,3.39,-9.39
660,-0.91,4.23,-11.5
670,-0.02,4.4,-11.1
680,-0.23,4.81,-11.32
690,0.45,4.98,-10.99
700,0.59,5.12,-10.77
710,0.47,5.45,-11.12
720,0.15,5.79,-11.48
730,0.08,6.14,-11.83
740,-0.27,6.53,-12.34
750,-0.68,6.78,-12.59
760,-0.9,6.95,-12.85
770,-1.05,6.98,-12.78
780,-0.92,6.87,-12.36
790,-0.42,6.41,-10.8
800,-0.49,6.02,-9.97
810,-0.27,5.87,-9.75
820,-0.22,5.56,-9.43
830,0.11,5.2,-8.88
840,-0.06,5.12,-9.14
850,-0.1,4.9,-9.14
860,-0.0,4.65,-8.99
870,-0.1,4.41,-8.68
880,-0.13,4.14,-8.17
890,-0.15,3.83,-7.7
900,-0.16,3.57,-7.39
910,-0.21,3.33,-7.27
920,-0.07,3.06,-7.21
930,0.15,2.67,-6.99
940,0.25,2.45,-7.15
950,0.21,2.28,-7.4
960,0.08,2.08,-7.59
970,-0.12,1.81,-7.6
980,0.01,1.5,-7.36
990,-0.04,1.18,-7.33
1000,-0.02,0.83,-7.18
