timestamp,x,y,z
0,9.57,-0.21,-3.99
10,9.75,0.07,-4.5
20,9.69,0.35,-4.29
30,9.52,0.68,-4.18
40,9.26,1.19,-4.14
50,8.61,1.84,-4.01
60,7.92,2.56,-3.95
70,7.57,3.28,-4.26
80,7.67,3.92,-5.04
90,7.84,4.5,-6.11
100,7.98,4.85,-6.91
110,8.07,5.15,-7.4
120,7.99,5.27,-7.4
130,8.04,5.29,-7.24
140,8.23,5.18,-6.85
150,8.28,5.08,-6.73
160,8.29,5.04,-6.9
170,8.31,4.84,-6.5
180,8.06,4.58,-6.26
190,7.7,4.3,-5.89
200,7.44,3.96,-5.65
210,7.39,3.66,-5.78
220,7.08,3.42,-5.88
230,6.68,3.25,-5.66
240,6.18,2.81,-4.34
250,5.32,2.58,-3.62
260,4.32,2.44,-3.38
270,3.79,2.09,-3.11
280,4.17,1.54,-3.02
290,4.74,0.87,-3.12
300,5.64,0.15,-3.5
310,6.74,-0.74,-3.88
320,7.84,-1.45,-4.64
330,8.7,-2.12,-4.87
340,9.72,-2.76,-4.78
350,9.75,-3.07,-4.57
360,9.47,-3.25,-4.56
370,8.99,-3.37,-4.42
380,8.3,-3.61,-3.77
390,8.34,-4.08,-2.96
400,8.79,-4.64,-2.57
410,9.7,-5.03,-3.32
420,10.44,-5.28,-4.03
430,10.98,-5.49,-4.26
440,10.84,-5.55,-4.16
450,10.29,-5.44,-3.9
460,9.53,-5.33,-3.55
470,8.84,-5.25,-3.08
480,8.5,-5.26,-2.76
490,8.26,-5.23,-2.77
500,8.41,-5.2,-3.21
510,9.04,-5.34,-3.21
520,9.53,-5.42,-3.23
530,9.49,-5.19,-3.8
540,9.27,-4.85,-4.43
550,9.17,-4.59,-4.6
560,8.85,-4.4,-4.25
570,8.55,-4.16,-3.94
580,8.29,-3.89,-4.14
590,8.17,-3.62,-4.53
600,8.22,-3.56,-4.24
610,8.37,-3.7,-3.6
620,8.28,-3.54,-4.02
630,8.19,-3.28,-4.72
640,8.19,-3.13,-4.69
650,7.92,-3.07,-4.49
660,7.89,-2.72,-5.05
670,7.33,-2.36,-5.49
680,6.77,-2.12,-5.34
690,5.89,-1.7,-5.48
700,5.44,-1.39,-5.34
710,5.37,-1.23,-4.7
720,6.51,-1.44,-3.9
730,6.01,-0.94,-4.37
740,7.25,-1.13,-4.45
750,7.38,-0.72,-5.74
760,8.23,-0.57,-6.28
770,8.8,-0.54,-5.95
780,9.17,-0.52,-5.18
790,9.48,-0.34,-4.98
800,9.46,-0.18,-5.03
810,9.34,0.19,-5.54
820,8.99,0.72,-6.08
830,8.8,1.13,-5.66
840,8.77,1.43,-5.49
850,8.82,1.72,-5.32
860,8.98,2.0,-5.32
870,8.86,2.66,-6.69
880,9.12,3.03,-7.33
890,9.08,3.28,-7.41
900,8.65,3.64,-7.5
910,8.33,4.0,-7.64
920,8.18,4.25,-7.87
930,8.43,4.39,-7.58
940,8.1,4.52,-7.3
950,7.91,4.76,-7.45
960,7.76,5.05,-7.85
970,7.78,5.2,-7.6
980,7.65,5.27,-7.09
990,7.43,5.36,-7.07
1000,7.25,5.4,-7.34
