timestamp,x,y,z
0,0.38,6.07,-5.54
10,-0.24,6.46,-5.47
20,-0.45,6.74,-5.15
30,-0.38,7.01,-5.39
40,-0.04,7.31,-6.37
50,0.48,7.57,-8.24
60,1.04,7.63,-10.13
70,1.71,7.43,-11.37
80,2.51,6.98,-11.94
90,3.11,6.45,-11.81
100,3.36,6.12,-11.92
110,3.06,6.0,-11.88
120,2.73,5.76,-11.34
130,2.3,5.33,-10.02
140,2.02,4.83,-8.67
150,1.43,4.21,-7.44
160,1.03,3.44,-6.42
170,1.62,2.58,-6.42
180,2.59,1.75,-7.01
190,4.23,1.18,-8.27
200,4.07,0.41,-7.8
210,4.52,-0.12,-7.99
220,3.94,-0.26,-8.95
230,3.73,-0.7,-8.54
240,3.95,-1.34,-7.88
250,4.31,-2.0,-7.56
260,4.6,-2.64,-7.75
270,5.17,-2.99,-8.55
280,6.74,-4.09,-7.99
290,6.96,-4.08,-10.08
300,7.07,-4.25,-11.01
310,6.64,-4.35,-11.38
320,6.38,-4.42,-11.4
330,6.85,-4.51,-10.47
340,6.3,-5.23,-8.55
350,6.48,-5.24,-8.22
360,6.39,-5.09,-8.72
370,6.23,-4.86,-9.07
380,6.29,-4.63,-8.96
390,6.06,-4.4,-8.36
400,5.91,-4.06,-8.21
410,5.59,-3.92,-7.38
420,5.19,-3.63,-7.23
430,4.9,-3.37,-7.07
440,4.53,-3.17,-6.55
450,4.55,-2.91,-6.27
460,4.84,-2.81,-6.65
470,4.92,-2.55,-6.95
480,4.26,-1.95,-8.19
490,4.15,-1.6,-8.66
500,3.92,-1.3,-8.47
510,3.8,-1.01,-8.76
520,3.5,-0.71,-8.62
530,3.36,-0.43,-8.33
540,3.42,-0.22,-7.94
550,3.73,0.11,-7.95
560,4.03,0.45,-8.02
570,4.39,0.73,-7.43
580,4.16,1.03,-6.43
590,3.88,1.43,-5.62
600,3.39,2.06,-5.65
610,3.13,2.71,-5.81
620,2.85,3.34,-5.68
630,2.42,3.93,-5.12
640,1.78,4.56,-4.6
650,1.08,5.3,-5.16
660,0.59,6.12,-6.7
670,0.4,6.81,-8.49
680,0.45,7.33,-10.24
690,0.54,7.89,-12.1
700,0.6,8.44,-13.38
710,0.83,8.6,-13.1
720,1.11,8.56,-11.98
730,1.16,8.5,-11.12
740,1.17,8.38,-10.08
750,1.0,8.24,-9.24
760,0.72,8.21,-9.24
770,0.61,8.12,-9.43
780,0.97,7.77,-9.37
790,1.31,7.38,-9.37
800,1.74,6.95,-9.3
810,2.17,6.51,-8.97
820,2.37,6.22,-8.77
830,2.42,6.03,-8.88
840,2.3,5.86,-8.88
850,2.21,5.58,-8.63
860,2.22,5.18,-8.14
870,2.15,4.72,-7.61
880,2.18,4.29,-7.39
890,2.24,3.85,-7.14
900,2.71,3.37,-7.08
910,3.24,2.78,-6.63
920,3.38,2.45,-6.82
930,2.84,2.37,-7.67
940,1.97,2.21,-8.04
950,1.31,1.78,-7.35
960,0.97,1.14,-6.51
970,1.2,0.46,-6.07
980,1.76,-0.13,-6.1
990,2.62,-0.66,-6.5
1000,3.01,-1.0,-7.12
